iter	ka(1)	ke(1)	F(1)	LnPrior	LnData	LnPosterior
0	0.237706	0.0255823	0.830123	-3.791509e+00	-2.439175e+03	-2.442967e+03
1	0.237706	0.0255823	0.808185	-3.791509e+00	-2.341040e+03	-2.344831e+03
2	0.237706	0.0255823	0.346262	-3.791509e+00	-7.175649e+02	-7.213564e+02
3	0.237706	0.0255823	0.346262	-3.791509e+00	-7.175649e+02	-7.213564e+02
4	0.237706	0.0255823	0.346262	-3.791509e+00	-7.175649e+02	-7.213564e+02
5	0.237706	0.0255823	0.346262	-3.791509e+00	-7.175649e+02	-7.213564e+02
6	0.248378	0.0255823	0.346262	-3.799214e+00	-7.117389e+02	-7.155381e+02
7	0.248378	0.0255823	0.346262	-3.799214e+00	-7.117389e+02	-7.155381e+02
8	0.248378	0.0255823	0.346262	-3.799214e+00	-7.117389e+02	-7.155381e+02
9	0.248378	0.0255823	0.346262	-3.799214e+00	-7.117389e+02	-7.155381e+02
10	0.248378	0.0349721	0.346262	-3.767471e+00	-2.655782e+02	-2.693456e+02
11	0.248378	0.0349721	0.346262	-3.767471e+00	-2.655782e+02	-2.693456e+02
12	0.248378	0.0349721	0.382089	-3.767471e+00	-2.128035e+02	-2.165710e+02
13	0.248378	0.0349721	0.382089	-3.767471e+00	-2.128035e+02	-2.165710e+02
14	0.248378	0.0349721	0.382089	-3.767471e+00	-2.128035e+02	-2.165710e+02
15	0.248378	0.0349721	0.382089	-3.767471e+00	-2.128035e+02	-2.165710e+02
16	0.248378	0.0349721	0.382089	-3.767471e+00	-2.128035e+02	-2.165710e+02
17	0.248378	0.0349721	0.382089	-3.767471e+00	-2.128035e+02	-2.165710e+02
18	0.248378	0.0349721	0.382089	-3.767471e+00	-2.128035e+02	-2.165710e+02
19	0.248378	0.0349721	0.382089	-3.767471e+00	-2.128035e+02	-2.165710e+02
20	0.248378	0.0349721	0.382089	-3.767471e+00	-2.128035e+02	-2.165710e+02
21	0.248378	0.0349721	0.382089	-3.767471e+00	-2.128035e+02	-2.165710e+02
22	0.248378	0.0349721	0.382089	-3.767471e+00	-2.128035e+02	-2.165710e+02
23	0.248378	0.0362418	0.382089	-3.765078e+00	-1.938363e+02	-1.976014e+02
24	0.248378	0.0362418	0.382089	-3.765078e+00	-1.938363e+02	-1.976014e+02
25	0.248378	0.0362418	0.382089	-3.765078e+00	-1.938363e+02	-1.976014e+02
26	0.248378	0.0362418	0.382089	-3.765078e+00	-1.938363e+02	-1.976014e+02
27	0.248378	0.0362418	0.382089	-3.765078e+00	-1.938363e+02	-1.976014e+02
28	0.248378	0.0362418	0.382089	-3.765078e+00	-1.938363e+02	-1.976014e+02
29	0.248378	0.0362418	0.382089	-3.765078e+00	-1.938363e+02	-1.976014e+02
30	0.221897	0.0362418	0.463324	-3.746066e+00	-1.552049e+02	-1.589510e+02
31	0.221897	0.0362418	0.463324	-3.746066e+00	-1.552049e+02	-1.589510e+02
32	0.221897	0.0362418	0.463324	-3.746066e+00	-1.552049e+02	-1.589510e+02
33	0.221897	0.0403119	0.513562	-3.740416e+00	-9.204595e+01	-9.578636e+01
34	0.221897	0.0414188	0.510129	-3.739336e+00	-8.588328e+01	-8.962262e+01
35	0.158836	0.0414188	0.510129	-3.697723e+00	-3.323215e+01	-3.692988e+01
36	0.158836	0.0414188	0.510129	-3.697723e+00	-3.323215e+01	-3.692988e+01
37	0.158836	0.0414188	0.510129	-3.697723e+00	-3.323215e+01	-3.692988e+01
38	0.158836	0.0414188	0.510129	-3.697723e+00	-3.323215e+01	-3.692988e+01
39	0.158836	0.0414188	0.510129	-3.697723e+00	-3.323215e+01	-3.692988e+01
40	0.158836	0.0414188	0.540635	-3.697723e+00	-2.361946e+01	-2.731718e+01
41	0.158836	0.0414188	0.540635	-3.697723e+00	-2.361946e+01	-2.731718e+01
42	0.158836	0.0443377	0.615631	-3.695648e+00	-1.032339e+01	-1.401904e+01
43	0.158836	0.0443377	0.615631	-3.695648e+00	-1.032339e+01	-1.401904e+01
44	0.12508	0.0443377	0.634272	-3.679443e+00	1.415442e+01	1.047498e+01
45	0.12508	0.0443377	0.634304	-3.679443e+00	1.415131e+01	1.047187e+01
46	0.12508	0.0443377	0.634304	-3.679443e+00	1.415131e+01	1.047187e+01
47	0.12508	0.0443377	0.634304	-3.679443e+00	1.415131e+01	1.047187e+01
48	0.12508	0.0443377	0.634304	-3.679443e+00	1.415131e+01	1.047187e+01
49	0.12508	0.0443377	0.613946	-3.679443e+00	1.401204e+01	1.033259e+01
50	0.12508	0.0443377	0.613946	-3.679443e+00	1.401204e+01	1.033259e+01
51	0.12508	0.0456922	0.613946	-3.678817e+00	2.039524e+01	1.671642e+01
52	0.12508	0.0456922	0.613946	-3.678817e+00	2.039524e+01	1.671642e+01
53	0.12508	0.0456922	0.613946	-3.678817e+00	2.039524e+01	1.671642e+01
54	0.12508	0.0456922	0.613946	-3.678817e+00	2.039524e+01	1.671642e+01
55	0.12508	0.0456922	0.613946	-3.678817e+00	2.039524e+01	1.671642e+01
56	0.12508	0.0456922	0.613946	-3.678817e+00	2.039524e+01	1.671642e+01
57	0.12508	0.0456922	0.613946	-3.678817e+00	2.039524e+01	1.671642e+01
58	0.12508	0.0456922	0.613946	-3.678817e+00	2.039524e+01	1.671642e+01
59	0.12508	0.0456922	0.643816	-3.678817e+00	2.517337e+01	2.149455e+01
60	0.123991	0.0456922	0.643816	-3.678438e+00	2.543385e+01	2.175541e+01
61	0.123991	0.0456922	0.643816	-3.678438e+00	2.543385e+01	2.175541e+01
62	0.123991	0.0469861	0.670226	-3.678018e+00	2.810591e+01	2.442789e+01
63	0.123991	0.0469861	0.667669	-3.678018e+00	2.817880e+01	2.450078e+01
64	0.123991	0.0469861	0.667669	-3.678018e+00	2.817880e+01	2.450078e+01
65	0.123991	0.0469861	0.667669	-3.678018e+00	2.817880e+01	2.450078e+01
66	0.123991	0.0469861	0.667669	-3.678018e+00	2.817880e+01	2.450078e+01
67	0.123991	0.0469861	0.667669	-3.678018e+00	2.817880e+01	2.450078e+01
68	0.123991	0.0469861	0.667669	-3.678018e+00	2.817880e+01	2.450078e+01
69	0.123991	0.0469861	0.667669	-3.678018e+00	2.817880e+01	2.450078e+01
70	0.123991	0.0469861	0.683554	-3.678018e+00	2.680441e+01	2.312640e+01
71	0.123991	0.0469861	0.683554	-3.678018e+00	2.680441e+01	2.312640e+01
72	0.119829	0.0469861	0.683554	-3.676683e+00	3.036882e+01	2.669214e+01
73	0.119829	0.0470764	0.683554	-3.676659e+00	3.059053e+01	2.691387e+01
74	0.119829	0.0470764	0.683554	-3.676659e+00	3.059053e+01	2.691387e+01
75	0.111647	0.0470764	0.683554	-3.674625e+00	3.280023e+01	2.912561e+01
76	0.111709	0.0472294	0.683554	-3.674600e+00	3.346960e+01	2.979500e+01
77	0.111709	0.0478406	0.683554	-3.674471e+00	3.458741e+01	3.091293e+01
78	0.111709	0.0478406	0.683554	-3.674471e+00	3.458741e+01	3.091293e+01
79	0.112931	0.0478406	0.702521	-3.674721e+00	3.469416e+01	3.101944e+01
80	0.112931	0.0478406	0.702521	-3.674721e+00	3.469416e+01	3.101944e+01
81	0.112931	0.0484468	0.685088	-3.674627e+00	3.312353e+01	2.944891e+01
82	0.112931	0.0484468	0.698295	-3.674627e+00	3.451149e+01	3.083686e+01
83	0.112931	0.0484468	0.698381	-3.674627e+00	3.451572e+01	3.084110e+01
84	0.112931	0.0484468	0.698381	-3.674627e+00	3.451572e+01	3.084110e+01
85	0.112931	0.0484468	0.698381	-3.674627e+00	3.451572e+01	3.084110e+01
86	0.112931	0.0484468	0.698381	-3.674627e+00	3.451572e+01	3.084110e+01
87	0.112931	0.0484613	0.698381	-3.674625e+00	3.447805e+01	3.080343e+01
88	0.115511	0.0484613	0.682	-3.675218e+00	3.102970e+01	2.735448e+01
89	0.115511	0.0484613	0.682	-3.675218e+00	3.102970e+01	2.735448e+01
90	0.115511	0.0473371	0.682	-3.675418e+00	3.336667e+01	2.969125e+01
91	0.115511	0.0473371	0.682	-3.675418e+00	3.336667e+01	2.969125e+01
92	0.115511	0.0475698	0.682	-3.675367e+00	3.356038e+01	2.988501e+01
93	0.115511	0.0474366	0.682	-3.675395e+00	3.349289e+01	2.981750e+01
94	0.115511	0.0474366	0.682	-3.675395e+00	3.349289e+01	2.981750e+01
95	0.115511	0.0474366	0.682	-3.675395e+00	3.349289e+01	2.981750e+01
96	0.11139	0.0474366	0.682	-3.674491e+00	3.398217e+01	3.030768e+01
97	0.11139	0.0482546	0.682	-3.674342e+00	3.377185e+01	3.009750e+01
98	0.11139	0.0475421	0.682	-3.674468e+00	3.419655e+01	3.052208e+01
99	0.11139	0.0472962	0.682	-3.674522e+00	3.358558e+01	2.991106e+01
100	0.11139	0.0480143	0.681663	-3.674379e+00	3.422718e+01	3.055280e+01
101	0.11139	0.0480143	0.710274	-3.674379e+00	3.518583e+01	3.151145e+01
102	0.11139	0.0480143	0.710274	-3.674379e+00	3.518583e+01	3.151145e+01
103	0.11139	0.0480143	0.710274	-3.674379e+00	3.518583e+01	3.151145e+01
104	0.11139	0.0480143	0.710274	-3.674379e+00	3.518583e+01	3.151145e+01
105	0.11139	0.0480143	0.710274	-3.674379e+00	3.518583e+01	3.151145e+01
106	0.11139	0.0486097	0.710274	-3.674296e+00	3.541993e+01	3.174563e+01
107	0.108545	0.0486097	0.714244	-3.673810e+00	3.685139e+01	3.317758e+01
108	0.108545	0.0486097	0.714244	-3.673810e+00	3.685139e+01	3.317758e+01
109	0.108545	0.0486097	0.711493	-3.673810e+00	3.683234e+01	3.315853e+01
110	0.108545	0.0486097	0.724861	-3.673810e+00	3.637490e+01	3.270109e+01
111	0.105753	0.0486097	0.724861	-3.673455e+00	3.719730e+01	3.352385e+01
112	0.105753	0.0486097	0.704583	-3.673455e+00	3.662475e+01	3.295130e+01
113	0.105753	0.0486097	0.704583	-3.673455e+00	3.662475e+01	3.295130e+01
114	0.105753	0.0486097	0.701537	-3.673455e+00	3.625397e+01	3.258051e+01
115	0.105753	0.0486097	0.701537	-3.673455e+00	3.625397e+01	3.258051e+01
116	0.105753	0.0494191	0.71532	-3.673390e+00	3.641734e+01	3.274395e+01
117	0.105753	0.0494191	0.713731	-3.673390e+00	3.621235e+01	3.253896e+01
118	0.105753	0.0494191	0.738248	-3.673390e+00	3.719560e+01	3.352221e+01
119	0.105753	0.0494191	0.743895	-3.673390e+00	3.678665e+01	3.311326e+01
120	0.102984	0.0500544	0.743895	-3.673153e+00	3.754272e+01	3.386956e+01
121	0.102984	0.0500544	0.743895	-3.673153e+00	3.754272e+01	3.386956e+01
122	0.102984	0.0495698	0.738342	-3.673160e+00	3.830532e+01	3.463216e+01
123	0.102984	0.0495698	0.738342	-3.673160e+00	3.830532e+01	3.463216e+01
124	0.102984	0.0495698	0.738342	-3.673160e+00	3.830532e+01	3.463216e+01
125	0.102984	0.0495698	0.725618	-3.673160e+00	3.771238e+01	3.403922e+01
126	0.102984	0.0495698	0.725618	-3.673160e+00	3.771238e+01	3.403922e+01
127	0.102984	0.0496023	0.732466	-3.673159e+00	3.814034e+01	3.446718e+01
128	0.104863	0.0496023	0.73832	-3.673297e+00	3.749048e+01	3.381718e+01
129	0.104863	0.0496023	0.748122	-3.673297e+00	3.694810e+01	3.327481e+01
130	0.104863	0.0497071	0.73561	-3.673294e+00	3.728453e+01	3.361124e+01
131	0.104863	0.0497071	0.731489	-3.673294e+00	3.717005e+01	3.349676e+01
132	0.104863	0.0497071	0.731489	-3.673294e+00	3.717005e+01	3.349676e+01
133	0.104863	0.0497071	0.717361	-3.673294e+00	3.579271e+01	3.211941e+01
134	0.102503	0.0484047	0.719731	-3.673232e+00	3.581564e+01	3.214241e+01
135	0.102503	0.049606	0.719731	-3.673134e+00	3.691925e+01	3.324611e+01
136	0.102503	0.049606	0.719731	-3.673134e+00	3.691925e+01	3.324611e+01
137	0.101684	0.049606	0.729677	-3.673101e+00	3.806041e+01	3.438731e+01
138	0.101684	0.049606	0.729677	-3.673101e+00	3.806041e+01	3.438731e+01
139	0.102933	0.049606	0.745193	-3.673156e+00	3.815351e+01	3.448036e+01
140	0.0987197	0.049606	0.745439	-3.673090e+00	3.815073e+01	3.447764e+01
141	0.104441	0.049606	0.746481	-3.673260e+00	3.735234e+01	3.367908e+01
142	0.104441	0.049606	0.746481	-3.673260e+00	3.735234e+01	3.367908e+01
143	0.104441	0.049606	0.746481	-3.673260e+00	3.735234e+01	3.367908e+01
144	0.104441	0.049606	0.746481	-3.673260e+00	3.735234e+01	3.367908e+01
145	0.104441	0.049606	0.746481	-3.673260e+00	3.735234e+01	3.367908e+01
146	0.101215	0.049606	0.746481	-3.673088e+00	3.848758e+01	3.481449e+01
147	0.101215	0.049606	0.753318	-3.673088e+00	3.809266e+01	3.441958e+01
148	0.101215	0.049606	0.737211	-3.673088e+00	3.848872e+01	3.481564e+01
149	0.101215	0.049606	0.751241	-3.673088e+00	3.824737e+01	3.457428e+01
150	0.101215	0.049606	0.759654	-3.673088e+00	3.743685e+01	3.376376e+01
151	0.100161	0.049606	0.759654	-3.673074e+00	3.760487e+01	3.393180e+01
152	0.100161	0.0503391	0.759654	-3.673072e+00	3.826404e+01	3.459097e+01
153	0.0949931	0.0503391	0.754046	-3.673333e+00	3.768309e+01	3.400976e+01
154	0.0949931	0.0503391	0.754046	-3.673333e+00	3.768309e+01	3.400976e+01
155	0.0955837	0.0503391	0.754046	-3.673274e+00	3.803083e+01	3.435756e+01
156	0.0955837	0.0503391	0.756846	-3.673274e+00	3.819027e+01	3.451700e+01
157	0.0941807	0.0505347	0.741585	-3.673434e+00	3.533506e+01	3.166163e+01
158	0.0979139	0.0504927	0.741585	-3.673121e+00	3.725275e+01	3.357963e+01
159	0.0979139	0.0504927	0.741585	-3.673121e+00	3.725275e+01	3.357963e+01
160	0.0971366	0.0496381	0.741585	-3.673156e+00	3.722765e+01	3.355449e+01
161	0.0984888	0.0499333	0.77267	-3.673091e+00	3.714314e+01	3.347005e+01
162	0.0984888	0.0499333	0.77267	-3.673091e+00	3.714314e+01	3.347005e+01
163	0.0945131	0.0497774	0.77267	-3.673384e+00	3.492565e+01	3.125226e+01
164	0.0945131	0.0497774	0.756569	-3.673384e+00	3.581968e+01	3.214629e+01
165	0.0945131	0.0498999	0.756569	-3.673383e+00	3.634510e+01	3.267172e+01
166	0.0945131	0.050504	0.756569	-3.673392e+00	3.768164e+01	3.400824e+01
167	0.0945131	0.050504	0.756569	-3.673392e+00	3.768164e+01	3.400824e+01
168	0.0945131	0.0507451	0.770383	-3.673404e+00	3.845660e+01	3.478319e+01
169	0.0945131	0.0511874	0.770383	-3.673437e+00	3.819078e+01	3.451734e+01
170	0.0945131	0.0511874	0.766669	-3.673437e+00	3.791921e+01	3.424578e+01
171	0.0958135	0.0511874	0.766669	-3.673303e+00	3.787815e+01	3.420484e+01
172	0.0958135	0.0511874	0.77335	-3.673303e+00	3.819426e+01	3.452096e+01
173	0.0958135	0.0511874	0.77335	-3.673303e+00	3.819426e+01	3.452096e+01
174	0.0958135	0.0511874	0.77335	-3.673303e+00	3.819426e+01	3.452096e+01
175	0.0958135	0.0508039	0.77335	-3.673273e+00	3.865648e+01	3.498321e+01
176	0.0958135	0.0504298	0.77335	-3.673255e+00	3.829570e+01	3.462244e+01
177	0.0958135	0.0504298	0.77335	-3.673255e+00	3.829570e+01	3.462244e+01
178	0.0958135	0.0504298	0.773176	-3.673255e+00	3.830577e+01	3.463251e+01
179	0.0958135	0.0504298	0.773176	-3.673255e+00	3.830577e+01	3.463251e+01
180	0.0937407	0.0504298	0.773176	-3.673488e+00	3.744684e+01	3.377335e+01
181	0.0937407	0.0504298	0.773176	-3.673488e+00	3.744684e+01	3.377335e+01
182	0.0937407	0.0506234	0.773176	-3.673495e+00	3.795856e+01	3.428507e+01
183	0.0967613	0.0501607	0.773176	-3.673176e+00	3.777532e+01	3.410214e+01
184	0.0967613	0.0501607	0.753113	-3.673176e+00	3.839485e+01	3.472167e+01
185	0.097234	0.0501607	0.753113	-3.673146e+00	3.855363e+01	3.488048e+01
186	0.097234	0.0501607	0.753207	-3.673146e+00	3.855664e+01	3.488349e+01
187	0.097234	0.0501607	0.753207	-3.673146e+00	3.855664e+01	3.488349e+01
188	0.097234	0.0501607	0.753207	-3.673146e+00	3.855664e+01	3.488349e+01
189	0.0996953	0.0501607	0.753207	-3.673069e+00	3.867483e+01	3.500176e+01
190	0.0996953	0.0501607	0.753207	-3.673069e+00	3.867483e+01	3.500176e+01
191	0.102985	0.0493175	0.752668	-3.673172e+00	3.706614e+01	3.339297e+01
192	0.102375	0.0493175	0.752668	-3.673141e+00	3.723300e+01	3.355986e+01
193	0.102414	0.0493175	0.752668	-3.673142e+00	3.722419e+01	3.355105e+01
194	0.102414	0.0493175	0.752668	-3.673142e+00	3.722419e+01	3.355105e+01
195	0.102414	0.0494916	0.740973	-3.673134e+00	3.839639e+01	3.472326e+01
196	0.102414	0.0495417	0.74447	-3.673132e+00	3.831440e+01	3.464127e+01
197	0.102414	0.0498477	0.74447	-3.673125e+00	3.822804e+01	3.455491e+01
198	0.102414	0.0498477	0.74447	-3.673125e+00	3.822804e+01	3.455491e+01
199	0.0972063	0.049956	0.74447	-3.673147e+00	3.795437e+01	3.428122e+01
200	0.0972063	0.049956	0.74447	-3.673147e+00	3.795437e+01	3.428122e+01
