iter	ka(1)	ke(1)	F(1)	SD_C_central(1)	SD_AUC(1)	LnPrior	LnData	LnPosterior
0	0.237706	0.0255823	0.279823	0.10982	0.0987957	4.032537e+00	-6.545449e+02	-6.505124e+02
2	0.237706	0.0387851	0.442985	0.10982	0.0987957	4.070531e+00	-1.030929e+02	-9.902236e+01
4	0.219698	0.0387851	0.442985	0.10982	0.101282	4.083398e+00	-8.930864e+01	-8.522524e+01
6	0.219698	0.0387851	0.442985	0.10987	0.108167	4.083398e+00	-8.434041e+01	-8.025702e+01
8	0.219698	0.0387851	0.442985	0.10987	0.109956	4.083398e+00	-8.324279e+01	-7.915939e+01
10	0.219698	0.0387851	0.484393	0.10987	0.109956	4.083398e+00	-7.739006e+01	-7.330667e+01
12	0.219698	0.0387851	0.484393	0.10987	0.109956	4.083398e+00	-7.739006e+01	-7.330667e+01
14	0.219698	0.0387851	0.484393	0.10987	0.109956	4.083398e+00	-7.739006e+01	-7.330667e+01
16	0.219698	0.0387851	0.484393	0.10987	0.109691	4.083398e+00	-7.750670e+01	-7.342330e+01
18	0.219698	0.0387851	0.484393	0.10987	0.10965	4.083398e+00	-7.752492e+01	-7.344152e+01
20	0.219698	0.0387851	0.484393	0.10987	0.10965	4.083398e+00	-7.752492e+01	-7.344152e+01
22	0.219698	0.0387851	0.484393	0.108727	0.108938	4.083398e+00	-7.963878e+01	-7.555538e+01
24	0.219698	0.0387851	0.484393	0.107789	0.108762	4.083398e+00	-8.123861e+01	-7.715521e+01
26	0.219698	0.0387851	0.484393	0.107789	0.109912	4.083398e+00	-8.072238e+01	-7.663898e+01
28	0.219698	0.0387851	0.484393	0.107789	0.109977	4.083398e+00	-8.069387e+01	-7.661047e+01
30	0.219698	0.0387851	0.484393	0.10833	0.109421	4.083398e+00	-8.005932e+01	-7.597593e+01
32	0.219698	0.0387851	0.484393	0.10833	0.10793	4.083398e+00	-8.074403e+01	-7.666063e+01
34	0.219698	0.0387851	0.484393	0.109347	0.1097	4.083398e+00	-7.831632e+01	-7.423292e+01
36	0.219698	0.0387851	0.484393	0.109347	0.1097	4.083398e+00	-7.831632e+01	-7.423292e+01
38	0.214701	0.0387851	0.484393	0.109347	0.108681	4.086924e+00	-7.483117e+01	-7.074425e+01
40	0.214701	0.0387851	0.484393	0.109347	0.108681	4.086924e+00	-7.483117e+01	-7.074425e+01
42	0.214701	0.0387851	0.484393	0.109347	0.107944	4.086924e+00	-7.514400e+01	-7.105707e+01
44	0.214701	0.0387851	0.484393	0.109347	0.107944	4.086924e+00	-7.514400e+01	-7.105707e+01
46	0.214701	0.0387851	0.484393	0.109758	0.107944	4.086924e+00	-7.451618e+01	-7.042925e+01
48	0.157154	0.0387851	0.484393	0.109758	0.095035	4.124414e+00	-6.920950e+01	-6.508509e+01
50	0.157154	0.0387851	0.484393	0.109969	0.0945212	4.124414e+00	-6.916142e+01	-6.503700e+01
52	0.157154	0.0387851	0.484393	0.109031	0.0968973	4.124414e+00	-6.939000e+01	-6.526559e+01
54	0.182927	0.0387851	0.484393	0.109031	0.10447	4.108570e+00	-6.040133e+01	-5.629276e+01
56	0.182927	0.0387851	0.484393	0.109031	0.108169	4.108570e+00	-5.938048e+01	-5.527191e+01
58	0.182927	0.0387851	0.484393	0.109008	0.0980836	4.108570e+00	-6.260587e+01	-5.849730e+01
60	0.182927	0.0387851	0.484393	0.109008	0.0990551	4.108570e+00	-6.223748e+01	-5.812890e+01
62	0.182927	0.0387851	0.484393	0.10751	0.105637	4.108570e+00	-6.227652e+01	-5.816795e+01
64	0.182927	0.0387851	0.484393	0.109598	0.107312	4.108570e+00	-5.880308e+01	-5.469451e+01
66	0.182927	0.0387851	0.484393	0.10819	0.107312	4.108570e+00	-6.081534e+01	-5.670677e+01
68	0.182927	0.0387851	0.484393	0.10819	0.108508	4.108570e+00	-6.050652e+01	-5.639795e+01
70	0.182927	0.0387851	0.497064	0.10819	0.106651	4.108570e+00	-6.023422e+01	-5.612565e+01
72	0.182927	0.0387851	0.497064	0.109033	0.106491	4.108570e+00	-5.901852e+01	-5.490995e+01
74	0.182927	0.0387851	0.497064	0.109033	0.108512	4.108570e+00	-5.859881e+01	-5.449024e+01
76	0.182927	0.0401643	0.497064	0.109033	0.106298	4.110204e+00	-4.104492e+01	-3.693472e+01
78	0.182927	0.0401643	0.497064	0.108885	0.10274	4.110204e+00	-4.234554e+01	-3.823534e+01
