iter	min_F(1)	max_F(1)	ka(1)	ke(1)	F(1)	SD_C_central(1)	SD_AUC(1)	LnPrior	LnData	LnPosterior
0	0.419154	0.435497	0.912774	0.0727445	0.426992	0.099177	0.107916	8.908989e+00	-5.871640e+03	-5.862731e+03
1	0.403781	0.574276	0.912774	0.0727445	0.524238	0.099177	0.107916	6.537991e+00	-5.339961e+03	-5.333423e+03
2	0.270704	0.538152	0.912774	0.0727445	0.534797	0.109634	0.107916	5.886301e+00	-4.436712e+03	-4.430826e+03
3	0.295685	0.649417	0.912774	0.0727445	0.553479	0.109634	0.109912	5.641543e+00	-4.358481e+03	-4.352840e+03
4	0.433914	0.585033	0.912774	0.0727445	0.573439	0.109634	0.109912	6.710494e+00	-4.303973e+03	-4.297262e+03
5	0.359979	0.585033	0.912774	0.0727445	0.573439	0.109634	0.109912	6.189464e+00	-4.303973e+03	-4.297783e+03
6	0.267896	0.585033	0.912774	0.0727445	0.573439	0.109634	0.109912	5.712052e+00	-4.303973e+03	-4.298261e+03
7	0.391991	0.585033	0.912774	0.0727445	0.573439	0.109634	0.109912	6.394209e+00	-4.303973e+03	-4.297579e+03
8	0.391991	0.585033	0.912774	0.0334788	0.415812	0.109634	0.109912	6.392202e+00	-6.647425e+02	-6.583503e+02
9	0.362514	0.580185	0.912774	0.0334788	0.389112	0.109634	0.109912	6.224781e+00	-6.132777e+02	-6.070530e+02
10	0.362514	0.580185	0.912774	0.0334788	0.389112	0.109634	0.109912	6.224781e+00	-6.132777e+02	-6.070530e+02
11	0.362514	0.470418	0.912774	0.0334788	0.389112	0.109634	0.109912	6.926524e+00	-6.132777e+02	-6.063512e+02
12	0.313496	0.469754	0.912774	0.0334788	0.360112	0.109634	0.109912	6.482175e+00	-5.717018e+02	-5.652196e+02
13	0.33154	0.469754	0.912774	0.0334788	0.360112	0.109634	0.109912	6.631522e+00	-5.717018e+02	-5.650703e+02
14	0.33154	0.469754	0.912774	0.0334788	0.360112	0.109634	0.109912	6.631522e+00	-5.717018e+02	-5.650703e+02
15	0.33154	0.438161	0.323191	0.0334788	0.360112	0.109634	0.109912	7.238216e+00	-2.367418e+02	-2.295036e+02
16	0.325865	0.520802	0.323191	0.0334788	0.36728	0.109634	0.109912	6.626365e+00	-2.344174e+02	-2.277911e+02
17	0.326387	0.597501	0.323191	0.0334788	0.36728	0.109364	0.109912	6.297275e+00	-2.354149e+02	-2.291176e+02
18	0.279721	0.66114	0.323191	0.0334788	0.36728	0.109364	0.109912	5.888931e+00	-2.354149e+02	-2.295260e+02
19	0.263272	0.596134	0.323191	0.0334788	0.36728	0.109364	0.109912	6.002523e+00	-2.354149e+02	-2.294124e+02
20	0.339294	0.612565	0.323191	0.0334788	0.36728	0.109364	0.109912	6.308698e+00	-2.354149e+02	-2.291062e+02
21	0.339294	0.612565	0.323191	0.0334788	0.36728	0.109364	0.109493	6.308698e+00	-2.359080e+02	-2.295993e+02
22	0.339294	0.777374	0.323191	0.0334788	0.370912	0.109364	0.109332	5.836760e+00	-2.354081e+02	-2.295713e+02
23	0.255463	0.612158	0.323191	0.0334788	0.370912	0.109364	0.109332	5.922824e+00	-2.354081e+02	-2.294852e+02
24	0.255463	0.765147	0.323191	0.0334788	0.370912	0.109364	0.109332	5.565915e+00	-2.354081e+02	-2.298421e+02
25	0.255463	0.574371	0.323191	0.0334788	0.370912	0.109364	0.108032	6.034801e+00	-2.369444e+02	-2.309096e+02
26	0.255463	0.598718	0.323191	0.0334788	0.370912	0.109364	0.108665	5.961231e+00	-2.361884e+02	-2.302272e+02
27	0.255463	0.638357	0.323191	0.0334788	0.370912	0.109883	0.108264	5.851947e+00	-2.347432e+02	-2.288913e+02
28	0.349776	0.638357	0.323191	0.0334788	0.370912	0.109883	0.109021	6.270175e+00	-2.338477e+02	-2.275775e+02
29	0.349776	0.689987	0.323191	0.0334788	0.370912	0.109883	0.109235	6.105586e+00	-2.335983e+02	-2.274927e+02
30	0.290274	0.468975	0.323191	0.0334788	0.370912	0.109883	0.109235	6.661879e+00	-2.335983e+02	-2.269364e+02
31	0.331461	0.600466	0.323191	0.0334788	0.370912	0.109883	0.108821	6.312643e+00	-2.340820e+02	-2.277694e+02
32	0.331461	0.71383	0.323191	0.0334788	0.370912	0.109512	0.108821	5.960988e+00	-2.354544e+02	-2.294934e+02
33	0.331461	0.83947	0.323191	0.0334788	0.370912	0.109512	0.108821	5.676876e+00	-2.354544e+02	-2.297775e+02
34	0.331461	0.726426	0.323191	0.0334788	0.370912	0.109403	0.108821	5.928576e+00	-2.358584e+02	-2.299298e+02
35	0.303276	0.791552	0.307761	0.0334788	0.370912	0.109403	0.108821	5.686303e+00	-2.280217e+02	-2.223354e+02
36	0.307411	0.514188	0.307761	0.0334788	0.370912	0.109403	0.108821	6.551496e+00	-2.280217e+02	-2.214702e+02
37	0.269612	0.445882	0.307761	0.0334788	0.370912	0.109403	0.108821	6.657979e+00	-2.280217e+02	-2.213637e+02
38	0.287965	0.445882	0.307761	0.0334788	0.370912	0.109403	0.108551	6.793375e+00	-2.283198e+02	-2.215264e+02
39	0.254929	0.569128	0.307761	0.0334788	0.388015	0.109847	0.108193	6.060064e+00	-2.263005e+02	-2.202405e+02
40	0.268841	0.534391	0.307761	0.0334788	0.388015	0.109847	0.108193	6.247140e+00	-2.263005e+02	-2.200534e+02
41	0.282238	0.534391	0.307761	0.0334788	0.388015	0.109847	0.108193	6.317396e+00	-2.263005e+02	-2.199831e+02
42	0.339015	0.967516	0.307761	0.0334788	0.388015	0.109847	0.108193	5.486504e+00	-2.263005e+02	-2.208140e+02
43	0.339015	0.543017	0.307761	0.0334788	0.388015	0.109847	0.109566	6.611713e+00	-2.249682e+02	-2.183565e+02
44	0.339015	0.543017	0.307761	0.0334788	0.388015	0.109847	0.109431	6.611713e+00	-2.250968e+02	-2.184851e+02
45	0.278023	0.543017	0.307761	0.0334788	0.388015	0.109948	0.109845	6.261873e+00	-2.243300e+02	-2.180681e+02
46	0.278023	0.543017	0.307761	0.0334788	0.388015	0.109948	0.109845	6.261873e+00	-2.243300e+02	-2.180681e+02
47	0.377927	0.92597	0.307761	0.0334788	0.388015	0.109948	0.109845	5.684162e+00	-2.243300e+02	-2.186458e+02
48	0.377927	0.427146	0.307761	0.0334788	0.388015	0.109947	0.109845	8.094237e+00	-2.243327e+02	-2.162385e+02
49	0.377927	0.651639	0.252335	0.0334788	0.388015	0.109947	0.109845	6.418656e+00	-2.012239e+02	-1.948053e+02
50	0.377927	0.651639	0.252335	0.0334788	0.403193	0.109947	0.108109	6.418656e+00	-2.012818e+02	-1.948631e+02
51	0.377927	0.761612	0.252335	0.0334788	0.403193	0.109913	0.108109	6.080907e+00	-2.014073e+02	-1.953264e+02
52	0.377927	0.730253	0.208303	0.0334788	0.409641	0.109892	0.109543	6.197615e+00	-1.972949e+02	-1.910972e+02
53	0.377927	0.784389	0.208303	0.0334788	0.420305	0.109892	0.109543	6.054681e+00	-1.966837e+02	-1.906290e+02
54	0.377927	0.784389	0.208303	0.0334788	0.420305	0.109892	0.109543	6.054681e+00	-1.966837e+02	-1.906290e+02
55	0.377927	0.745478	0.208303	0.0334788	0.425083	0.109892	0.108307	6.155308e+00	-1.974922e+02	-1.913369e+02
56	0.254365	0.99615	0.208303	0.0334788	0.425083	0.109961	0.108307	5.271931e+00	-1.972258e+02	-1.919539e+02
57	0.254365	0.99615	0.208303	0.0334788	0.425083	0.109961	0.108307	5.271931e+00	-1.972258e+02	-1.919539e+02
58	0.254365	0.88433	0.208303	0.0334788	0.425083	0.109961	0.108307	5.435325e+00	-1.972258e+02	-1.917905e+02
59	0.294715	0.650423	0.208303	0.0334788	0.426481	0.109961	0.105749	6.062514e+00	-1.982398e+02	-1.921773e+02
