iter	ka(1)	ke(1)	F(1)	CV_C_cen(1)	CV_AUC(1)	LnPrior	LnData	LnPosterior
0	0.237706	0.0255823	0.279823	0.149098	0.0939787	8.136610e-01	-4.251872e+02	-4.243735e+02
4	0.219698	0.0255823	0.443764	0.149098	0.106412	8.265274e-01	-8.424219e+01	-8.341566e+01
8	0.219698	0.0255823	0.443764	0.149348	0.127019	8.265274e-01	-8.380696e+01	-8.298043e+01
12	0.219698	0.0255823	0.443764	0.149348	0.130238	8.265274e-01	-8.388109e+01	-8.305456e+01
16	0.219698	0.0255823	0.443764	0.149348	0.135633	8.265274e-01	-8.404516e+01	-8.321863e+01
20	0.219698	0.0255823	0.432729	0.149348	0.123312	8.265274e-01	-8.125903e+01	-8.043251e+01
24	0.219698	0.0255823	0.417648	0.149348	0.109788	8.265274e-01	-7.978061e+01	-7.895408e+01
28	0.219698	0.0255823	0.417648	0.149348	0.101556	8.265274e-01	-8.006971e+01	-7.924318e+01
32	0.219698	0.0255823	0.417648	0.149348	0.122715	8.265274e-01	-7.982044e+01	-7.899391e+01
36	0.219698	0.0292453	0.425641	0.149348	0.108309	8.424779e-01	-7.036436e+01	-6.952189e+01
40	0.186988	0.0292453	0.482828	0.149348	0.122112	8.649826e-01	-6.515989e+01	-6.429491e+01
44	0.186988	0.0292453	0.472925	0.149348	0.101863	8.649826e-01	-6.247090e+01	-6.160592e+01
48	0.186988	0.0292453	0.452246	0.149348	0.0850176	8.649826e-01	-6.324012e+01	-6.237514e+01
52	0.186988	0.0292453	0.462225	0.149348	0.108128	8.649826e-01	-6.168825e+01	-6.082327e+01
56	0.186988	0.0292453	0.458874	0.149348	0.0888355	8.649826e-01	-6.198097e+01	-6.111599e+01
60	0.186988	0.0314155	0.477975	0.149348	0.106573	8.720626e-01	-5.341213e+01	-5.254006e+01
64	0.186988	0.0314155	0.474343	0.149348	0.109921	8.720626e-01	-5.330705e+01	-5.243499e+01
68	0.186988	0.0314155	0.472468	0.149348	0.10932	8.720626e-01	-5.328516e+01	-5.241309e+01
72	0.186988	0.0314155	0.473943	0.149348	0.118005	8.720626e-01	-5.347613e+01	-5.260406e+01
76	0.186988	0.0336983	0.473943	0.149348	0.118473	8.780177e-01	-4.566344e+01	-4.478542e+01
80	0.186988	0.0336983	0.473943	0.149348	0.123741	8.780177e-01	-4.556046e+01	-4.468244e+01
84	0.186988	0.0336983	0.474265	0.149348	0.119065	8.780177e-01	-4.560700e+01	-4.472898e+01
88	0.186988	0.0336983	0.474869	0.149348	0.137582	8.780177e-01	-4.556376e+01	-4.468575e+01
92	0.186988	0.0352897	0.492129	0.149348	0.124817	8.814053e-01	-3.928608e+01	-3.840467e+01
96	0.182225	0.0352897	0.48758	0.149348	0.134424	8.845308e-01	-3.841416e+01	-3.752963e+01
100	0.182225	0.0352897	0.495185	0.14978	0.105695	8.845308e-01	-3.830117e+01	-3.741664e+01
104	0.182225	0.0352897	0.506342	0.14978	0.118935	8.845308e-01	-3.773692e+01	-3.685239e+01
108	0.182225	0.0352897	0.501152	0.14978	0.100846	8.845308e-01	-3.837153e+01	-3.748700e+01
112	0.17741	0.0395547	0.506094	0.14978	0.146385	8.942047e-01	-2.503276e+01	-2.413855e+01
116	0.184179	0.0397783	0.514912	0.14978	0.138421	8.900818e-01	-2.583109e+01	-2.494101e+01
120	0.147877	0.0397783	0.537357	0.14978	0.142744	9.118138e-01	-1.467887e+01	-1.376706e+01
124	0.147877	0.0397783	0.540503	0.14978	0.121086	9.118138e-01	-1.401387e+01	-1.310205e+01
128	0.148702	0.0397783	0.575042	0.14978	0.102083	9.113809e-01	-1.200610e+01	-1.109472e+01
132	0.13827	0.0413795	0.582639	0.14978	0.086396	9.181902e-01	-4.652387e+00	-3.734196e+00
136	0.13827	0.0417821	0.591167	0.14978	0.118216	9.185430e-01	-2.421616e+00	-1.503073e+00
140	0.13827	0.0417821	0.589549	0.14978	0.0880806	9.185430e-01	-2.606207e+00	-1.687664e+00
144	0.13827	0.0417821	0.592703	0.14978	0.119501	9.185430e-01	-2.481747e+00	-1.563204e+00
148	0.13827	0.0417821	0.600685	0.14978	0.0719903	9.185430e-01	-4.246190e+00	-3.327647e+00
152	0.134795	0.0417821	0.600685	0.148417	0.081404	9.201089e-01	-2.220669e+00	-1.300560e+00
156	0.134795	0.0417821	0.609801	0.148417	0.081404	9.201089e-01	-2.238377e+00	-1.318269e+00
160	0.134795	0.04356	0.606079	0.148417	0.0990562	9.214159e-01	3.920460e+00	4.841876e+00
164	0.134795	0.04356	0.601106	0.148417	0.129351	9.214159e-01	3.128819e+00	4.050235e+00
168	0.134795	0.04356	0.601106	0.144719	0.102342	9.214159e-01	3.231493e+00	4.152909e+00
172	0.130698	0.04356	0.625278	0.144719	0.0751303	9.231428e-01	3.738017e+00	4.661160e+00
176	0.130698	0.04356	0.624905	0.144719	0.100808	9.231428e-01	5.075998e+00	5.999141e+00
180	0.129502	0.04356	0.624905	0.144719	0.0973725	9.236208e-01	5.344237e+00	6.267857e+00
184	0.129502	0.04356	0.641746	0.144719	0.0866253	9.236208e-01	4.139746e+00	5.063367e+00
188	0.129502	0.0463474	0.658949	0.143775	0.0933783	9.249306e-01	9.330362e+00	1.025529e+01
192	0.11886	0.0463474	0.675314	0.143613	0.0988425	9.285848e-01	1.411876e+01	1.504735e+01
196	0.11886	0.046465	0.688821	0.120622	0.0942217	9.286222e-01	1.353773e+01	1.446636e+01
200	0.11886	0.046465	0.665324	0.115381	0.0891058	9.286222e-01	1.443229e+01	1.536091e+01
