Results of Experiment 1

Time	C_central	AUC	ln_C_central	ln_AUC
1	0.0740254	0.034958	-2.60335	-3.35361
5	0.226229	0.7325	-1.48621	-0.311292
10	0.338335	2.14153	-1.08372	0.761522
15	0.396685	3.84534	-0.924612	1.34686
20	0.347245	6.23583	-1.05773	1.83031
40	0.178837	9.8223	-1.72128	2.28466
60	0.0750449	13.8552	-2.58967	2.62866
100	0.00885008	15.4287	-4.72733	2.73623
140	0.00121541	14.7939	-6.71267	2.69422

Results of Experiment 2

Time	C_central	AUC	ln_C_central	ln_AUC
1	0.721477	0.322446	-0.326454	-1.13182
2	1.23987	1.44713	0.215006	0.369584
3	1.62891	3.18839	0.487913	1.15951
5	2.68688	8.50287	0.988381	2.1404
10	3.06505	26.1638	1.12007	3.26438
20	3.98884	57.6988	1.3835	4.05524
40	1.95865	118.17	0.672256	4.77212
50	1.186	104.071	0.170588	4.64508
100	0.0950837	138.828	-2.353	4.93323
120	0.0373645	170.868	-3.28703	5.14089
140	0.0165511	158.171	-4.1013	5.06367

