iter	A(1)	B(1)	A(1.1)	B(1.1)	A(1.2)	B(1.2)	A(1.3)	B(1.3)	A(1.4)	B(1.4)	A(1.5)	B(1.5)	A(1.6)	B(1.6)	A(1.7)	B(1.7)	A(1.8)	B(1.8)	A(1.9)	B(1.9)	A(1.10)	B(1.10)	LnPrior	LnData	LnPosterior
220	0.0327879	1.19566	-0.0646118	1.16767	0.18948	1.43075	-0.0712964	1.10297	0.220382	1.28926	0.0102611	1.13584	-0.0321267	1.15883	-0.0848077	0.946464	-0.178298	1.06256	0.150226	1.2943	0.0433967	1.26255	4.289927e+00	1.630609e+02	1.673509e+02
240	0.0502256	1.19525	-0.0515262	1.16552	0.172796	1.43241	-0.0693276	1.1045	0.231919	1.28577	0.00460774	1.13525	-0.0551866	1.15653	-0.0672231	0.947485	-0.177137	1.06272	0.140209	1.29485	0.0325984	1.26393	4.156611e+00	1.616607e+02	1.658173e+02
260	0.0210263	1.17452	-0.077087	1.16923	0.161377	1.43493	-0.103081	1.10635	0.249243	1.28299	0.0060542	1.13589	-0.034641	1.15607	-0.0912219	0.943512	-0.185552	1.06493	0.118815	1.29677	0.0418851	1.26219	3.851845e+00	1.652343e+02	1.690862e+02
280	0.0424728	1.13889	-0.052633	1.16468	0.217268	1.42798	-0.0803485	1.10515	0.236769	1.28558	0.0144913	1.13535	-0.0295162	1.15247	-0.0749715	0.943815	-0.182033	1.06162	0.126406	1.29294	0.0396452	1.26198	3.440899e+00	1.649480e+02	1.683889e+02
300	0.0561452	1.1761	-0.054359	1.16325	0.210479	1.42906	-0.0863593	1.10438	0.234242	1.28675	0.0233259	1.13491	-0.0172195	1.15195	-0.031932	0.937636	-0.182699	1.06245	0.114398	1.29478	0.0418041	1.26169	3.964634e+00	1.644376e+02	1.684022e+02
320	0.0442233	1.14767	-0.0677338	1.16871	0.186419	1.42966	-0.110689	1.10725	0.221432	1.29103	-0.00131501	1.13476	-0.00878891	1.15244	-0.0257318	0.936805	-0.176113	1.06537	0.111759	1.29555	0.0349579	1.26649	4.372499e+00	1.669905e+02	1.713630e+02
340	0.0442233	1.14767	-0.0677338	1.16871	0.186419	1.42966	-0.110689	1.10725	0.221432	1.29103	-0.00131501	1.13476	-0.00878891	1.15244	-0.0257318	0.936805	-0.176113	1.06537	0.111759	1.29555	0.0349579	1.26649	4.372499e+00	1.669905e+02	1.713630e+02
360	0.040322	1.16845	-0.0423196	1.16624	0.172121	1.43165	-0.118712	1.11283	0.210393	1.29366	0.00757822	1.1355	-0.045293	1.15487	-0.017031	0.932209	-0.184233	1.06749	0.0697898	1.29847	0.0123166	1.26671	4.915447e+00	1.642027e+02	1.691181e+02
380	-3.32286e-05	1.10416	-0.037855	1.16161	0.180398	1.42796	-0.102966	1.11216	0.234003	1.28917	0.00700751	1.13566	-0.0426501	1.15389	-0.0298265	0.93719	-0.172043	1.06408	0.0929102	1.29445	0.0154867	1.26581	4.298071e+00	1.662783e+02	1.705764e+02
400	-0.0276104	1.12126	-0.0679513	1.16495	0.188188	1.42736	-0.103701	1.11256	0.209032	1.29352	0.00289779	1.13514	-0.0465381	1.15441	-0.0341635	0.936753	-0.167205	1.06689	0.0685068	1.29693	0.00242332	1.26628	4.556937e+00	1.631107e+02	1.676676e+02
420	-0.00668298	1.15189	-0.097393	1.16933	0.18496	1.42622	-0.101418	1.11213	0.191903	1.29473	0.0170456	1.13524	-0.0376068	1.15426	-0.045781	0.939032	-0.166697	1.06833	0.0648774	1.29981	0.0320477	1.26614	5.553094e+00	1.636270e+02	1.691800e+02
440	0.0185941	1.19472	-0.071285	1.16558	0.161208	1.42803	-0.0792225	1.10965	0.224303	1.28958	-0.000648267	1.13528	-0.0264645	1.15371	-0.0855931	0.945219	-0.185152	1.06741	0.084719	1.29634	0.0385861	1.26354	5.177969e+00	1.670088e+02	1.721868e+02
460	-0.00841941	1.19633	-0.0469036	1.16688	0.147085	1.43185	-0.10129	1.11079	0.222018	1.28962	0.0241524	1.13503	-0.0324899	1.15779	-0.0682107	0.945886	-0.190579	1.07014	0.0759663	1.30235	0.0467307	1.26405	5.349870e+00	1.649662e+02	1.703161e+02
480	0.0458574	1.20606	-0.0411458	1.16007	0.190223	1.42544	-0.0954375	1.10695	0.240945	1.28542	0.0357431	1.13364	-0.00384767	1.15409	-0.0427273	0.942568	-0.151672	1.06372	0.112302	1.29101	0.0457451	1.26246	5.103887e+00	1.645108e+02	1.696147e+02
500	-0.00424608	1.1978	-0.0918555	1.17186	0.190049	1.42539	-0.0921564	1.10463	0.211471	1.28954	0.0215952	1.13305	-0.0273681	1.15692	-0.0715689	0.945978	-0.176211	1.06407	0.0949727	1.2946	0.0543611	1.26303	4.755099e+00	1.661791e+02	1.709342e+02
520	-0.00426357	1.22884	-0.0920644	1.17437	0.195152	1.42532	-0.0844222	1.10396	0.198588	1.29454	0.0217277	1.13275	-0.0431311	1.15843	-0.0912853	0.947228	-0.174573	1.06584	0.0926045	1.29557	0.0513194	1.26188	4.645123e+00	1.660976e+02	1.707428e+02
540	0.0067147	1.18953	-0.0832774	1.1689	0.175368	1.42828	-0.0785738	1.10548	0.201589	1.28925	0.0392526	1.13243	-0.0239195	1.15772	-0.0969228	0.945621	-0.203758	1.06636	0.0824988	1.29525	0.0632248	1.2613	4.788665e+00	1.648322e+02	1.696209e+02
560	0.032233	1.1857	-0.00937774	1.1631	0.166771	1.43025	-0.0584682	1.10417	0.213413	1.28685	0.0363452	1.13179	-0.0248333	1.15976	-0.0844683	0.944138	-0.204677	1.06963	0.0926264	1.29683	0.0695705	1.25861	5.222649e+00	1.626821e+02	1.679048e+02
580	0.0578863	1.13111	-0.0233846	1.15866	0.158311	1.4319	-0.0685181	1.10632	0.20148	1.28864	0.0378414	1.13063	-0.0278499	1.15904	-0.0862363	0.945319	-0.201211	1.06873	0.100504	1.29575	0.0679894	1.26147	4.255798e+00	1.647189e+02	1.689747e+02
600	0.000446049	1.16616	-0.0700381	1.16748	0.143062	1.433	-0.0744244	1.10981	0.180263	1.29371	0.0535801	1.13093	-0.0178999	1.15972	-0.0849489	0.945931	-0.187403	1.06916	0.096499	1.29659	0.0638429	1.26329	5.983101e+00	1.617528e+02	1.677359e+02
620	0.0220058	1.14727	-0.0357239	1.15991	0.143886	1.43249	-0.0679104	1.10924	0.218367	1.28921	0.0498268	1.13087	-0.00426308	1.15721	-0.0673369	0.944915	-0.17939	1.0679	0.103348	1.29366	0.0605211	1.26362	5.830425e+00	1.626770e+02	1.685075e+02
640	0.0322057	1.06188	-0.0485249	1.16476	0.156546	1.4294	-0.0596622	1.1102	0.215204	1.29219	0.041979	1.13007	-0.00951181	1.15406	-0.0718949	0.94385	-0.173438	1.06435	0.101421	1.29932	0.0178871	1.26717	4.022352e+00	1.640898e+02	1.681122e+02
660	-0.00885192	1.10709	-0.0564255	1.16528	0.195403	1.42471	-0.0688535	1.11108	0.173276	1.29829	0.0153914	1.13221	-0.0411142	1.15963	-0.101373	0.950602	-0.169834	1.06581	0.100491	1.29816	0.0362063	1.26594	4.853965e+00	1.617682e+02	1.666221e+02
680	0.025277	1.13536	-0.0525978	1.1648	0.207362	1.42146	-0.0896803	1.11376	0.181349	1.29793	0.0088324	1.13219	-0.045633	1.15736	-0.102324	0.947564	-0.17448	1.06402	0.0950211	1.29751	0.0386145	1.26738	4.704988e+00	1.622575e+02	1.669625e+02
700	0.025277	1.13536	-0.0525978	1.1648	0.207362	1.42146	-0.0896803	1.11376	0.181349	1.29793	0.0088324	1.13219	-0.045633	1.15736	-0.102324	0.947564	-0.17448	1.06402	0.0950211	1.29751	0.0386145	1.26738	4.704988e+00	1.622575e+02	1.669625e+02
720	0.0451291	1.13847	-0.0396349	1.16597	0.188071	1.42852	-0.110403	1.11399	0.177695	1.30192	0.0157478	1.1317	-0.0587755	1.15875	-0.0633585	0.941468	-0.166639	1.06616	0.0895623	1.2972	0.012162	1.2686	4.777238e+00	1.631538e+02	1.679311e+02
740	0.0295951	1.13031	-0.014771	1.16048	0.225463	1.42222	-0.0940382	1.11119	0.194077	1.29682	0.0155704	1.13369	-0.0577806	1.15977	-0.0939446	0.945372	-0.158542	1.06588	0.103683	1.29354	0.0323049	1.26443	4.489470e+00	1.643913e+02	1.688807e+02
760	0.007219	1.20778	-0.045433	1.16916	0.210532	1.42673	-0.104385	1.11253	0.160029	1.30355	0.0306503	1.13341	-0.0577133	1.15971	-0.0807648	0.943129	-0.160412	1.06574	0.0886775	1.29364	0.00694748	1.2673	5.732206e+00	1.597727e+02	1.655049e+02
780	0.0499078	1.15659	-0.00315927	1.15585	0.190252	1.42914	-0.0827936	1.11097	0.188992	1.29696	0.0389977	1.13267	-0.033834	1.15709	-0.0433378	0.941613	-0.159872	1.06604	0.0910135	1.29509	0.0168686	1.26644	5.915342e+00	1.625281e+02	1.684435e+02
800	0.0351226	1.18433	-0.0207905	1.15969	0.197248	1.42736	-0.0994046	1.11148	0.161345	1.29837	0.0243737	1.13287	-0.0151437	1.15604	-0.0517022	0.939461	-0.173075	1.06411	0.0841735	1.29666	0.00918823	1.26849	6.101613e+00	1.649655e+02	1.710671e+02
820	0.0351226	1.18433	-0.0207905	1.15969	0.197248	1.42736	-0.0994046	1.11148	0.161345	1.29837	0.0243737	1.13287	-0.0151437	1.15604	-0.0517022	0.939461	-0.173075	1.06411	0.0841735	1.29666	0.00918823	1.26849	6.101613e+00	1.649655e+02	1.710671e+02
840	0.0351226	1.18433	-0.0207905	1.15969	0.197248	1.42736	-0.0994046	1.11148	0.161345	1.29837	0.0243737	1.13287	-0.0151437	1.15604	-0.0517022	0.939461	-0.173075	1.06411	0.0841735	1.29666	0.00918823	1.26849	6.101613e+00	1.649655e+02	1.710671e+02
860	-0.0141904	1.21241	-0.0279358	1.16059	0.234634	1.41947	-0.104148	1.11165	0.180316	1.30116	0.0178872	1.13378	-0.0349613	1.1548	-0.0607401	0.941131	-0.163156	1.06307	0.0707083	1.29888	0.0233441	1.26629	4.932977e+00	1.624219e+02	1.673548e+02
880	-0.0141103	1.26016	-0.0161928	1.1622	0.220841	1.42148	-0.110548	1.11111	0.195489	1.2969	-0.00279668	1.13612	-0.0456769	1.15471	-0.086811	0.942108	-0.185127	1.06446	0.0743442	1.29776	0.0399531	1.2649	3.723758e+00	1.625048e+02	1.662286e+02
900	0.057259	1.10541	-0.0507978	1.16822	0.206173	1.42658	-0.119471	1.11339	0.198655	1.2933	0.00950014	1.13596	-0.0227455	1.14989	-0.0519361	0.937607	-0.166072	1.06408	0.0738031	1.29978	0.0569665	1.2653	3.524217e+00	1.638750e+02	1.673992e+02
920	0.0313748	1.1713	-0.00335498	1.15743	0.210335	1.42299	-0.0943725	1.11135	0.23886	1.28623	-0.00384682	1.13708	-0.0100483	1.1488	-0.0453556	0.936293	-0.146482	1.06246	0.0864703	1.29877	0.0746291	1.2605	5.258096e+00	1.621971e+02	1.674551e+02
940	0.0426509	1.21457	-0.0321835	1.16223	0.183384	1.42596	-0.113911	1.11318	0.209467	1.29335	0.000600791	1.13668	-0.0262136	1.1508	-0.0101805	0.931185	-0.153331	1.06459	0.0775299	1.30051	0.0265853	1.26384	5.618438e+00	1.617364e+02	1.673548e+02
960	0.0210726	1.23939	-0.0335075	1.1654	0.202302	1.42343	-0.124768	1.11207	0.205875	1.28943	0.00201493	1.13724	-0.0189993	1.15077	-0.0135775	0.930618	-0.158184	1.06282	0.0930247	1.29696	0.0327095	1.26449	5.120079e+00	1.620895e+02	1.672095e+02
980	0.00717063	1.21534	-0.0828471	1.16879	0.19038	1.42495	-0.126081	1.11213	0.212068	1.29117	0.0125904	1.13612	-0.0189696	1.15144	-0.0312309	0.93058	-0.166626	1.06444	0.076325	1.29717	0.0278397	1.26605	5.022766e+00	1.629530e+02	1.679758e+02
1000	0.0138453	1.14542	-0.0425826	1.16405	0.191225	1.42608	-0.12631	1.11341	0.222503	1.29218	-0.00639726	1.13605	-0.0216875	1.15084	-0.0286525	0.931011	-0.197387	1.06531	0.0964632	1.29573	0.0133747	1.26584	4.269663e+00	1.629932e+02	1.672628e+02
1020	0.0101705	1.0766	-0.0218734	1.16327	0.185513	1.42865	-0.118955	1.11163	0.235228	1.29149	0.0163099	1.1361	-0.0149001	1.15187	-0.0185315	0.930945	-0.21145	1.06614	0.107366	1.29434	0.0160706	1.26349	2.692648e+00	1.617377e+02	1.644303e+02
1040	0.0187035	1.08912	-0.0647275	1.1655	0.194779	1.42624	-0.111657	1.1111	0.228462	1.29424	0.00950246	1.13712	-0.0256302	1.15073	-0.0442435	0.933535	-0.194348	1.06461	0.100482	1.29464	0.00199164	1.26471	3.106817e+00	1.604811e+02	1.635879e+02
1060	0.0620518	1.16849	-0.0827666	1.16431	0.178043	1.42743	-0.13397	1.11597	0.198322	1.29268	0.00738541	1.13778	0.0342236	1.14853	-0.0269209	0.93426	-0.178038	1.0632	0.114923	 1.29	0.0260223	1.26424	3.850564e+00	1.610696e+02	1.649202e+02
1080	0.0606396	1.15254	-0.0855435	1.16902	0.177175	1.42582	-0.150172	1.11784	0.158321	1.30046	0.000243754	1.13648	0.0351124	1.14628	-0.0570071	0.939449	-0.174274	1.06681	0.101584	1.29924	0.0528944	1.26802	3.774231e+00	1.573322e+02	1.611064e+02
1100	0.0581145	1.18611	-0.0533023	1.16745	0.141563	1.43167	-0.155896	1.12002	0.160606	1.29728	0.0133837	1.13664	0.0405086	1.14713	-0.048031	0.937658	-0.189274	1.07019	0.0929721	1.29875	0.054911	1.26763	4.515874e+00	1.559617e+02	1.604776e+02
1120	0.069409	1.21384	-0.0682443	1.16379	0.152924	1.43065	-0.134632	1.11769	0.160199	1.3014	-0.00175153	1.13711	0.0207152	1.15085	-0.0806161	0.942533	-0.195864	1.07217	0.10054	1.29656	0.0566	1.26242	3.196528e+00	1.604239e+02	1.636204e+02
1140	0.0415663	1.20444	-0.0419582	1.16026	0.199733	1.42551	-0.135227	1.11309	0.157848	1.30011	-0.00156739	1.13721	-0.00892004	1.15261	-0.0722502	0.943338	-0.188711	1.06705	0.141957	1.29153	0.0695263	1.26001	4.231500e+00	1.625727e+02	1.668042e+02
1160	0.0182441	1.16895	-0.0738278	1.16556	0.210399	1.42429	-0.126081	1.1125	0.153527	1.302	-0.00948332	1.13683	-0.0143435	1.15241	-0.0908753	0.94564	-0.190779	1.06756	0.111699	1.29517	0.0575373	1.26206	4.534447e+00	1.634247e+02	1.679591e+02
1180	0.0318835	1.1257	-0.0852365	1.16856	0.201578	1.42584	-0.147184	1.11563	0.151266	1.30133	-0.0139976	1.13825	0.00854278	1.15123	-0.0513539	0.939108	-0.192478	1.06692	0.112725	1.29259	0.0480522	1.2624	3.915031e+00	1.628419e+02	1.667570e+02
1200	0.0893672	1.1157	-0.0526733	1.16332	0.196371	1.42742	-0.150713	1.11526	0.192081	1.2954	-0.0146247	1.13878	-0.0111133	1.1546	-0.0776868	0.941456	-0.189238	1.06683	0.140543	1.29032	0.0611877	1.25983	9.267760e-02	1.651020e+02	1.651947e+02
