iter	A(1)	B(1)	LnPrior	LnData	LnPosterior
0	-7.62918	4.7604	-6.804772e+00	-1.044027e+06	-1.044034e+06
1	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
2	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
3	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
4	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
5	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
6	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
7	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
8	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
9	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
10	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
11	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
12	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
13	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
14	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
15	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
16	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
17	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
18	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
19	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
20	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
21	-16.6435	4.7604	-7.898783e+00	-5.765419e+05	-5.765498e+05
22	-17.9937	4.7604	-8.132609e+00	-5.680947e+05	-5.681028e+05
23	-17.9937	4.7604	-8.132609e+00	-5.680947e+05	-5.681028e+05
24	-17.9937	4.7604	-8.132609e+00	-5.680947e+05	-5.681028e+05
25	-17.9937	4.7604	-8.132609e+00	-5.680947e+05	-5.681028e+05
26	-17.9937	4.7604	-8.132609e+00	-5.680947e+05	-5.681028e+05
27	-17.9937	4.7604	-8.132609e+00	-5.680947e+05	-5.681028e+05
28	-17.9937	3.54443	-8.094277e+00	-4.093732e+05	-4.093813e+05
29	-17.9937	3.54443	-8.094277e+00	-4.093732e+05	-4.093813e+05
30	-17.3776	3.54443	-7.985321e+00	-3.782764e+05	-3.782844e+05
31	-17.3776	3.54443	-7.985321e+00	-3.782764e+05	-3.782844e+05
32	-17.3776	3.54443	-7.985321e+00	-3.782764e+05	-3.782844e+05
33	-16.3807	3.54443	-7.817051e+00	-3.350314e+05	-3.350393e+05
34	-15.0214	3.54443	-7.603626e+00	-2.901584e+05	-2.901660e+05
35	-14.8704	3.54443	-7.581069e+00	-2.861790e+05	-2.861866e+05
36	-13.4169	3.54443	-7.375485e+00	-2.581155e+05	-2.581229e+05
37	-13.4169	3.54443	-7.375485e+00	-2.581155e+05	-2.581229e+05
38	-13.4169	3.54443	-7.375485e+00	-2.581155e+05	-2.581229e+05
39	-12.6275	3.54443	-7.272690e+00	-2.506652e+05	-2.506724e+05
40	-12.6275	3.54443	-7.272690e+00	-2.506652e+05	-2.506724e+05
41	-12.3443	3.54443	-7.237321e+00	-2.493286e+05	-2.493358e+05
42	-12.3443	3.54443	-7.237321e+00	-2.493286e+05	-2.493358e+05
43	-12.3443	3.54443	-7.237321e+00	-2.493286e+05	-2.493358e+05
44	-12.3225	2.83848	-7.219171e+00	-1.898955e+05	-1.899027e+05
45	-12.3225	2.83848	-7.219171e+00	-1.898955e+05	-1.899027e+05
46	-12.3225	2.83848	-7.219171e+00	-1.898955e+05	-1.899027e+05
47	-12.3225	2.83848	-7.219171e+00	-1.898955e+05	-1.899027e+05
48	-12.2383	2.83848	-7.208830e+00	-1.870350e+05	-1.870422e+05
49	-9.69072	2.47714	-6.923507e+00	-1.171531e+05	-1.171600e+05
50	-9.69072	2.47714	-6.923507e+00	-1.171531e+05	-1.171600e+05
51	-9.69072	2.47714	-6.923507e+00	-1.171531e+05	-1.171600e+05
52	-8.12109	2.47714	-6.783718e+00	-8.548512e+04	-8.549191e+04
53	-7.53669	2.1619	-6.733806e+00	-7.100417e+04	-7.101090e+04
54	-6.57648	2.1619	-6.666048e+00	-5.393907e+04	-5.394574e+04
55	-6.57648	2.1619	-6.666048e+00	-5.393907e+04	-5.394574e+04
56	-6.57648	2.1619	-6.666048e+00	-5.393907e+04	-5.394574e+04
57	-6.57648	2.1616	-6.666045e+00	-5.393331e+04	-5.393997e+04
58	-3.54886	1.32357	-6.506543e+00	-3.320325e+04	-3.320976e+04
59	-3.54886	1.78695	-6.509116e+00	-1.753092e+04	-1.753743e+04
60	-3.54886	1.78695	-6.509116e+00	-1.753092e+04	-1.753743e+04
61	-3.54886	1.78695	-6.509116e+00	-1.753092e+04	-1.753743e+04
62	-3.21299	1.78695	-6.497760e+00	-1.688473e+04	-1.689123e+04
63	-3.21299	1.78695	-6.497760e+00	-1.688473e+04	-1.689123e+04
64	-3.21299	1.78695	-6.497760e+00	-1.688473e+04	-1.689123e+04
65	-3.21299	1.78695	-6.497760e+00	-1.688473e+04	-1.689123e+04
66	-3.21299	1.78695	-6.497760e+00	-1.688473e+04	-1.689123e+04
67	-3.21299	1.60945	-6.496521e+00	-1.245055e+04	-1.245704e+04
68	-3.21299	1.60945	-6.496521e+00	-1.245055e+04	-1.245704e+04
69	-3.21299	1.60945	-6.496521e+00	-1.245055e+04	-1.245704e+04
70	-3.21299	1.60945	-6.496521e+00	-1.245055e+04	-1.245704e+04
71	-3.21299	1.60945	-6.496521e+00	-1.245055e+04	-1.245704e+04
72	-3.21299	1.60945	-6.496521e+00	-1.245055e+04	-1.245704e+04
73	-3.21299	1.60945	-6.496521e+00	-1.245055e+04	-1.245704e+04
74	-3.21299	1.60945	-6.496521e+00	-1.245055e+04	-1.245704e+04
75	-3.21299	1.60945	-6.496521e+00	-1.245055e+04	-1.245704e+04
76	-3.21299	1.60945	-6.496521e+00	-1.245055e+04	-1.245704e+04
77	-3.21299	1.60945	-6.496521e+00	-1.245055e+04	-1.245704e+04
